,ID,Gender,Age,Current,First,Accomplished,Proud,Valued,Safe,Achievement,Supported,Best,Change
1,1,Woman,4,No,Yes,3,3,3,3,3,2,Meeting people,The hours
2,2,Female ,1,Yes,Yes,4,3,4,4,4,3,The people,Better management
3,3,Female ,1,Yes,Yes,4,5,4,5,5,5,Experiencing the range of events at a large scale event location (National Exhibition Centre). A large team that are incredibly supportive and like to help wherever they can.,"Better work life balance in the busy season (winter/spring) and less lines of management to go through to get changes to anything approved, but these come with working for a large corporate company."
4,4,Female ,1,No,Yes,3,3,1,4,2,1,Coworkers,The management
5,5,Male ,2,Yes,Yes,3,3,3,4,3,3,Decent perks,The hours required
6,6,Male ,2,Yes,Yes,4,4,4,4,4,4,Flexibility,More consistency
7,7,Female ,1,Yes,No,3,2,3,3,3,3,the social side,
8,8,Female ,2,Yes,Yes,5,5,5,NA,5,5,"The people I work with. Seeing everything come together, knowing you helped make it happen.",Better salary
9,9,Female ,1,No,Yes,2,2,2,5,2,2,Meeting other people,
10,10,Female ,1,No,Yes,4,5,4,5,4,3,The fun experiences it gives me,The salary.
11,11,Male ,1,Yes,Yes,2,3,3,5,1,3,Getting tips,Better management
12,12,Female ,2,No,Yes,4,3,4,4,4,4,Talking to different people,A better salary
13,13,Male ,1,No,Yes,4,4,3,5,4,5,Working with people,The salary
14,14,Non-binary,2,Yes,Yes,2,3,2,4,3,2,The people I’ve met and work with,Pay rate for the responsibilities is not high enough
15,15,Female ,1,No,Yes,3,3,2,3,3,2,Flexibility,"Salary, growth opportunities"
16,16,Female ,2,No,Yes,3,3,2,3,2,3,the people,the stigma
17,17,Male ,1,Yes,Yes,3,4,2,2,4,3,"Very social, get to deal with people who, in general, are in a good mood",Finding a better balance with the hours required in the hospitality industry
18,18,Female ,1,No,Yes,2,2,1,2,1,2,Flexibility,Pay
19,19,Female ,1,Yes,Yes,3,3,2,5,3,1,,Be paid atleast my minimum wage
20,20,Female ,1,Yes,Yes,2,4,1,3,2,1,Seeing concerts,Treat us better
21,21,Female ,2,Yes,Yes,4,5,4,5,5,4,Getting to meet new people every event and exploring new cities,Staff welfare
22,22,Male ,1,No,Yes,3,3,3,4,3,3,Very sociable,Flexibility of hours
23,23,Male ,2,No,Yes,5,4,5,4,3,4,The opportunity to travel for work and meet loads of new people,The pay
24,24,Female ,1,No,Yes,3,2,2,4,3,2,Being able to interact with a range of customers and each day being different,Treatment from the other staff
25,25,Female ,2,Yes,Yes,2,1,1,1,3,1,The benefits,Safety being ensured by management
26,26,Female ,1,Yes,,2,2,4,4,1,3,"My hours, i finish at 4pm",Management can get very tense which reflects the mood of the working l environment
27,27,Female ,1,No,Yes,3,2,1,4,2,1,Friends,Customers
28,28,Female ,1,No,Yes,4,4,2,3,4,3,The people I work with,The pay
29,29,Female ,1,Yes,No,4,3,3,4,3,4,Meeting so many different people,The flexibility in working hours
30,30,Female ,1,No,Yes,3,4,1,3,4,1,the variety in the work,better treatment by my employer
31,31,Female ,2,Yes,,5,5,4,4,4,3,Constantly learning new skills,More communication
32,32,Female ,1,Yes,,2,3,1,4,2,1,The people I work with,Management
33,33,Female ,1,Yes,Yes,3,2,3,4,2,4,Money,Work life balance
34,34,Male ,2,Yes,Yes,4,4,1,4,5,2,Social aspect and relationships with colleagues,Stress
35,35,Female ,4,Yes,Yes,3,2,3,3,5,2,The people,Management
